ENABLE,PDCAPREFIX,TESTNAME,SUBTESTNAME,SUBSUBTESTNAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,ENVIRONMENT,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,PARAMETER,COF
1,2132,SOC,TEST-SC172-Pc-0x8F,,"sc run 172 5 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2133,SOC,TEST-SC182-Pc-0x8F,,"sc run 182 5 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2134,SOC,ECHO-4CORE-SECTION-Pb-SC6,,"echo >>>> 4P, 3P+ANE, 3P+AMX, 2P+AMX+ANE <<<<",5,Rush,echo,0,,"PASS echo",PERTOS,xVT,AAB,,,,1
1,2135,SOC,SET-PERF-0xb502255-Pb,,"pmgr mode 0xb502255",5,Dut,sendCommand,0,,"PASS pmgr mode 0xb502255",PERTOS,xVT,AAB,,,,1
1,2136,SOC,TEST-SC6-Pb,,"sc run 6 5",100,Dut,sendCommand,0,,"PASS sc run 6 5",PERTOS,xVT,"A -> FA",,,,1
1,2137,SOC,TEST-SC7-Pb,,"sc run 7 5",40,Dut,sendCommand,0,,"PASS sc run 7 5",PERTOS,xVT,"A -> FA",,,,1
1,2138,SOC,TEST-SC13-Pb,,"sc run 13 10",100,Dut,sendCommand,0,,"PASS sc run 13 10",PERTOS,xVT,"A -> FA",,,,1
1,2139,SOC,TEST-SC19-Pb,,"sc run 19 5",100,Dut,sendCommand,0,,"PASS sc run 19 5",PERTOS,xVT,"A -> FA",,,,1
1,2140,SOC,TEST-SC27-Pb,,"sc run 27 5",100,Dut,sendCommand,0,,"PASS sc run 27 5",PERTOS,xVT,"A -> FA",,,,1
1,2141,SOC,TEST-SC499-Pb,,"sc run 499 5",100,Dut,sendCommand,0,,"PASS sc run 499 5",PERTOS,xVT,"A -> FA",,,,1
1,2142,SOC,TEST-SC172-Pb-0xEF,,"sc run 172 5 -coredown 0x10",10,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x10",PERTOS,xVT,"A -> FA",,,,1
1,2143,SOC,TEST-SC182-Pb-0xEF,,"sc run 182 5 -coredown 0x10",10,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x10",PERTOS,xVT,"A -> FA",,,,1
1,2144,SOC,TEST-SC172-Pb-0xDF,,"sc run 172 5 -coredown 0x20",10,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x20",PERTOS,xVT,"A -> FA",,,,1
1,2145,SOC,TEST-SC182-Pb-0xDF,,"sc run 182 5 -coredown 0x20",10,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x20",PERTOS,xVT,"A -> FA",,,,1
1,2146,SOC,TEST-SC172-Pb-0xBF,,"sc run 172 5 -coredown 0x40",10,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x40",PERTOS,xVT,"A -> FA",,,,1
1,2147,SOC,TEST-SC182-Pb-0xBF,,"sc run 182 5 -coredown 0x40",10,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x40",PERTOS,xVT,"A -> FA",,,,1
