ENABLE,PDCAPREFIX,PDCANAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,PARAMETER,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,COF
1,2241,SET-BBQ-Pc-0x1F,"bbq config 0x1F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x1F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2242,TEST-SC172-Pc-0x1F,"sc run 172 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 172 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,1
1,2243,TEST-SC182-Pc-0x1F,"sc run 182 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 182 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,1
1,2244,SET-BBQ-Pc-0x2F,"bbq config 0x2F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x2F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2245,TEST-SC172-Pc-0x2F,"sc run 172 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 172 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,1
1,2246,TEST-SC182-Pc-0x2F,"sc run 182 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 182 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,1
1,2247,SET-BBQ-Pc-0x4F,"bbq config 0x4F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x4F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2248,TEST-SC172-Pc-0x4F,"sc run 172 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 172 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,1
1,2249,TEST-SC182-Pc-0x4F,"sc run 182 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 182 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,1
1,2250,SET-BBQ-Pc-0x8F,"bbq config 0x8F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x8F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2251,TEST-SC172-Pc-0x8F,"sc run 172 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 172 -coredown 0x70",PERTOS,xVT,"A -> FA",,,1
1,2252,TEST-SC182-Pc-0x8F,"sc run 182 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 182 -coredown 0x70",PERTOS,xVT,"A -> FA",,,1
1,2253,SET-PERF-0xd502145-Pd,"pmgr mode 0xd502145",5,Dut,sendCommand,0,,"PASS pmgr mode 0xd502145",PERTOS,xVT,AAB,,,1
1,2254,TEST-SC6-Pd-0xCF,"bbq config 0xCF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xCF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
