ENABLE,PDCAPREFIX,PDCANAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,PARAMETER,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,COF
1,3134,DUMP-NOM-UC-TEMP-EVENT,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3135,DUMP-NOM-UC-LOG,.rbmlog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3136,DUMP-NOM-UC-APSC-LOG,.apsc_log,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3137,DUMP-NOM-UC-MTQ,.mtq,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3138,DUMP-NOM-UC-RBMS,.rbm_s,5,runTest,runRBM,0,,0,RBM,xVT,A -> FA,,,1
1,3139,Reset MLB,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,3140,FIXTURESIGNAL_SETFANSPEED_0,FIXTURESIGNAL_SETFANSPEED_0,60,Rush,setfanspeed,0,,,,xVT,AAB,,,1
1,3141,DUMP-AMX-PCORE-STATE,phigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3142,DUMP-AMX-ECORE-STATE,ehigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3143,DUMP-AMX-TEMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3144,DUMP-AMX-PAMX,calc-pdvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3145,DUMP-AMX-PAMX,calc-edvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3146,SET-AMX-PA2DDR,true to dumppa2ddr?,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3147,DUMP-AMX-PAMX,show dvfm,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3148,DUMP-NOM-SOCPERF,show socperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3149,DUMP-NOM-DCSPERF,show dcsperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3150,DUMP-AMX-PMU,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3151,SET-AMX-VDDR1V1,set pmu -vdd2=1060,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3152,DUMP-AMX-PMU-2,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3153,RBM-AMX,rbm-amx -tout 300,400,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,x,1
1,3154,DUMP-AMX-TEMPLOG,.templog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3155,DUMP-AMX-L2-DECODE,.rfl,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3156,DUMP-AMX-MAX-TEMP,.sns-maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3157,DUMP-AMX-TEMP-EVENT,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3158,DUMP-AMX-LOG,.rbmlog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3159,DUMP-AMX-APSC-LOG,.apsc_log,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3160,DUMP-AMX-MTQ,.mtq,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3161,DUMP-AMX-RBMS,.rbm_s,5,runTest,runRBM,0,,0,RBM,xVT,A -> FA,,,1
1,3162,Reset MLB,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,3163,FIXTURESIGNAL_SETFANSPEED_0,FIXTURESIGNAL_SETFANSPEED_0,60,Rush,setfanspeed,0,,,,xVT,AAB,,,1
1,3164,DUMP-AMX-PV1-PCORE-STATE,phigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3165,DUMP-AMX-PV1-ECORE-STATE,ehigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3166,DUMP-AMX-PV1-TEMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3167,DUMP-AMX-PV1-PAMX-PV1,calc-pdvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3168,DUMP-AMX-PV1-PAMX-PV1,calc-edvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3169,SET-AMX-PV1-PA2DDR,true to dumppa2ddr?,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3170,DUMP-AMX-PV1-PAMX-PV1,show dvfm,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3171,DUMP-NOM-SOCPERF,show socperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3172,DUMP-NOM-DCSPERF,show dcsperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3173,DUMP-AMX-PV1-PMU,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3174,SET-AMX-PV1-VDDR1V1,set pmu -vdd2=1060,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3175,DUMP-AMX-PV1-PMU-2,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3176,RBM-AMX-PV1,rbm-amx-pv1 -tout 300,400,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,x,1
1,3177,DUMP-AMX-PV1-TEMPLOG,.templog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3178,DUMP-AMX-PV1-L2-DECODE,.rfl,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3179,DUMP-AMX-PV1-MAX-TEMP,.sns-maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3180,DUMP-AMX-PV1-TEMP-EVENT,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3181,DUMP-AMX-PV1-LOG,.rbmlog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3182,DUMP-AMX-PV1-APSC-LOG,.apsc_log,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3183,DUMP-AMX-PV1-MTQ,.mtq,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3184,DUMP-AMX-PV1-RBMS,.rbm_s,5,runTest,runRBM,0,,0,RBM,xVT,A -> FA,,,1
1,3185,Reset MLB,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,3186,FIXTURESIGNAL_SETFANSPEED_0,FIXTURESIGNAL_SETFANSPEED_0,60,Rush,setfanspeed,0,,,,xVT,AAB,,,1
1,3187,DUMP-P9P12-PCORE-STATE,phigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3188,DUMP-P9P12-ECORE-STATE,ehigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3189,DUMP-P9P12-TEMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3190,DUMP-P9P12-PROW-HAMMER,calc-pdvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3191,DUMP-P9P12-PROW-HAMMER,calc-edvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3192,SET-P9P12-PA2DDR,true to dumppa2ddr?,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3193,DUMP-P9P12-PROW-HAMMER,show dvfm,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3194,DUMP-P9P12-NOM-SOCPERF,show socperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3195,DUMP-P9P12-NOM-DCSPERF,show dcsperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3196,DUMP-P9P12-PMU,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3197,SET-P9P12-VDDR1V1,set pmu -vdd2=1060,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3198,DUMP-P9P12-PMU-2,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3199,RBM-P9P12,rbm-phigh9to12 -tout 300,400,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,x,1
1,3200,DUMP-P9P12-TEMPLOG,.templog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3201,DUMP-P9P12-L2-DECODE,.rfl,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3202,DUMP-P9P12-MAX-TEMP,.sns-maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3203,DUMP-P9P12-TEMP-EVENT,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3204,DUMP-P9P12-LOG,.rbmlog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3205,DUMP-P9P12-APSC-LOG,.apsc_log,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3206,DUMP-P9P12-MTQ,.mtq,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3207,DUMP-P9P12-RBMS,.rbm_s,5,runTest,runRBM,0,,0,RBM,xVT,A -> FA,,,1
